Test Case ID,Module,Test Case Name,Description,Preconditions,Test Steps,Test Data,Expected Result,Priority,Test Type
TC_FUNC_011,Order,Non-admin user access orders,Verify non-admin cannot access admin orders ,Non-admin user logged in,"1. Attempt to access /api/orders
2. Verify access denied",Non-admin token,Error 401/403: Unauthorized,High,Functional
TC_FUNC_012,Order,Unauthenticated access orders,Verify unauthenticated user cannot access,No authentic,"1. Attempt to access /api/orders without token
2. Verify access denied",No token,Error 401: Unauthorized,High,Functional
TC_FUNC_013,Order,Filter orders by status,Verify admin can filter orders by status,"Admin logged in
Orders with different statuses","1. Apply status filter
2. Verify filtered results
3. Check only matching orders shown",Status filter: Pending,Only Pending orders displayed,Medium,Functional
TC_FUNC_014,Order,Filter orders by user,Verify admin can filter orders by user,"Admin logged in
Orders from different users","1. Apply user filter
2. Verify filtered results
3. Check only user's orders shown",User name filter,Only specified user's orders shown,Medium,Functional
TC_FUNC_015,Order,Filter orders by date range,Verify admin can filter by date,"Admin logged in
Orders from different dates","1. Select date range
2. Apply filter
3. Verify results within range","Start date, End date",Only orders in date range shown,Medium,Functional
TC_FUNC_016,Order,Sort orders by creation date,Verify admin can sort by date,"Admin logged in
Multiple orders","1. Click sort by date
2. Verify ascending order
3. Click again for descending",Orders list,Orders sorted by createdAt,Low,Functional
TC_FUNC_017,Order,Sort orders by total price,Verify admin can sort by price,"Admin logged in
Multiple orders","1. Click sort by total price
2. Verify order by price
3. Toggle sort direction",Orders list,Orders sorted by totalPrice,Low,Functional
TC_FUNC_018,Order,Sort orders by status,Verify admin can sort by status,"Admin logged in
Multiple orders","1. Click sort by status
2. Verify alphabetical order
3. Toggle sort direction",Orders list,Orders sorted by status,low,Functional
TC_FUNC_019,Summary,View total orders count,Verify correct total orders count,"Admin logged in
Orders in database","1. Navigate to dashboard
2. Check numOrders value
3. Verify against database", Orders in DB,Correct count displayed,Medium,Functional
TC_FUNC_020,Summary,View total sales amount,Verify correct total sales calculation,"Admin logged in
Orders in database","1. Navigate to dashboard
2. Check totalSales value
3. Verify sum of all order totals",Orders with prices,Correct total sales displayed,Medium,Functional
TC_FUNC_021,Summary,View total users count,Verify correct users count,"Admin logged in
Users in database","1. Navigate to dashboard
2. Check numUsers value
3. Verify against database",Users in DB,Correct user count displayed,Medium,Functional
TC_FUNC_022,Summary,View daily orders chart,Verify daily orders aggregation,"Admin logged in
Orders from multiple days","1. Navigate to dashboard
2. Check dailyOrders data
3. Verify grouping by date",Orders with dates,Daily orders correctly grouped and sorted,Medium,Functional
TC_FUNC_023,Summary,View daily sales chart,Verify daily sales aggregation,"Admin logged in
Orders from multiple days","1. Navigate to dashboard
2. Check daily sales data
3. Verify sum by date",Orders with dates and prices,Daily sales correctly calculated,Medium,Functional
TC_FUNC_024,Summary,View product categories chart ,Verify category distribution,"Admin logged in
Products in categories","1. Navigate to dashboard
2. Check productCategories data
3. Verify count by category",Products with categories,Categories correctly counted,Low,Functional
TC_FUNC_025,Order,Verify order items populated,Verify order items display correctly,"Admin logged in
Order with items","1. View order details
2. Check all items displayed
3. Verify item details (name, price, quantity, image)",Order with multiple items,All items shown with complete details,High,Functional
TC_FUNC_026,Order,Verify shipping address display,Verify shipping address shown correctly,"Admin logged in
Order exists","1. View order details
2. Check shipping address section
3. Verify all fields (fullName, address, city, postalCode, country) ",Order with shipping address,Complete shipping address displayed,High,Functional
TC_FUNC_027,Order,Verify payment method display,Verify payment method shown,"Admin logged in
Order exists","1. View order details
2. Check payment method
3. Verify payment result if paid",Order with payment info,Payment method and status displayed,High,Functional
TC_FUNC_028,Order,Verify order timestamps,Verify timestamps displayed correctly,"Admin logged in
Order exists","1. View order details
2. Check createdAt timestamp
3. Check updatedAt timestamp
4. Check paidAt if paid
5. Check deliveredAt if delivered ",Order with timestamps,All timestamps displayed correctly,Medium,Functional
TC_FUNC_029,Cart,Cart cleared after PayPal payment,Verify cart deletion after payment,Order paid via PayPal,"1. User pays order via PayPal
2. Admin marks as paid
3. Verify cart deleted for user",Order with PayPal payment,Cart deleted from database,Medium,Functional
TC_FUNC_030,Cart,Cart cleared after COD delivery,Verify cart deletion after COD delivery,COD order delivered,"1. Admin marks COD order as Delivered
2. Verify cart deleted for user",COD order,Cart deleted from database,Medium,Functional
